Drug,Indication,Total Women Reports,Total Men Reports,Percentage Women Reports,Percentage Men Reports,Percentage Serious Women Reports,Percentage Serious Men Reports,NCT Numbers
VALSARTAN,HYPERTENSION,5246,2997,63.64,36.36,82.65,88.12,"['NCT00168779', 'NCT00518479', 'NCT00171002', 'NCT02480764', 'NCT00140790', 'NCT01402843', 'NCT00409643', 'NCT00439738', 'NCT00239538', 'NCT01353508', 'NCT00487123', 'NCT02343250', 'NCT00716950', 'NCT01365481', 'NCT04753112', 'NCT00790946', 'NCT00698646', 'NCT02058446', 'NCT05359068', 'NCT03432468', 'NCT00241072', 'NCT01001572', 'NCT00277472', 'NCT00902304', 'NCT00311740', 'NCT00523744', 'NCT02415192', 'NCT00170989', 'NCT00333489', 'NCT00190580', 'NCT03990480', 'NCT00171080', 'NCT00407680', 'NCT00250562', 'NCT00392262', 'NCT02662894', 'NCT06395194', 'NCT00409760', 'NCT01681576', 'NCT01672476', 'NCT00687973', 'NCT00385931', 'NCT00171782', 'NCT01819220', 'NCT02966665', 'NCT01508026', 'NCT00457626', 'NCT00240448', 'NCT00351130', 'NCT01071122', 'NCT03508739', 'NCT00170963', 'NCT03928158', 'NCT00982358', 'NCT00170924', 'NCT00241124', 'NCT02495324', 'NCT00171041', 'NCT00922441', 'NCT00171119', 'NCT00202618', 'NCT00696436', 'NCT00433836', 'NCT00413049', 'NCT00523549', 'NCT00687206', 'NCT01432106', 'NCT00295542', 'NCT00549770', 'NCT00921570', 'NCT05498675', 'NCT01609959', 'NCT04929600', 'NCT04637152', 'NCT00171132', 'NCT00170937', 'NCT00171015', 'NCT00241085', 'NCT00599885', 'NCT00171756', 'NCT00993109', 'NCT00939588', 'NCT05060588', 'NCT03738878', 'NCT00591578', 'NCT00426478', 'NCT00154271', 'NCT03180593', 'NCT00133328', 'NCT05170061', 'NCT03371797', 'NCT00425997', 'NCT00302705', 'NCT00241098', 'NCT03536598', 'NCT00327145', 'NCT00394745', 'NCT00437645', 'NCT00400777', 'NCT00171353', 'NCT00129233', 'NCT00327587', 'NCT01070043', 'NCT00153023', 'NCT00241150', 'NCT00661895', 'NCT04800081', 'NCT00931710', 'NCT00353912', 'NCT00350168', 'NCT00738972', 'NCT00500604', 'NCT02145104', 'NCT00424801', 'NCT01878201', 'NCT00819767', 'NCT00548067', 'NCT00171067', 'NCT00280540', 'NCT00034840', 'NCT00699192', 'NCT01541189', 'NCT03639480', 'NCT06053580', 'NCT00435162', 'NCT00927394', 'NCT01850160', 'NCT00170976', 'NCT00149227', 'NCT00171327', 'NCT00425373', 'NCT01406431', 'NCT04971720', 'NCT00171574', 'NCT00821574', 'NCT00732966', 'NCT00304226', 'NCT00809926', 'NCT03594825', 'NCT01375322', 'NCT00367939', 'NCT01870739', 'NCT00446563', 'NCT02973035', 'NCT00171535', 'NCT02177396', 'NCT03476616', 'NCT00446524', 'NCT00657241', 'NCT05528419', 'NCT02242318', 'NCT00460213', 'NCT00413413', 'NCT00338936', 'NCT00666536', 'NCT01281306', 'NCT00273299', 'NCT00254475', 'NCT05545059', 'NCT00171600', 'NCT01918332', 'NCT00241137', 'NCT01004237', 'NCT01447485', 'NCT00396656', 'NCT01609907', 'NCT00241007', 'NCT00386607', 'NCT01764178', 'NCT00360178', 'NCT00700271', 'NCT04398771', 'NCT00171093', 'NCT04687111', 'NCT01425411', 'NCT00446511', 'NCT00171028', 'NCT01928628', 'NCT00171561', 'NCT03279861', 'NCT00457483', 'NCT05920005', 'NCT01415505', 'NCT02062645', 'NCT01167153', 'NCT00409851', 'NCT01122251', 'NCT00171054', 'NCT00546754', 'NCT01241487', 'NCT00409487']"
VERAPAMIL,HYPERTENSION,256,96,72.73,27.27,82.42,48.96,"['NCT00235001', 'NCT00133692', 'NCT00679653', 'NCT00235014', 'NCT00234858', 'NCT00234871']"
ATENOLOL,HYPERTENSION,272,147,64.92,35.08,68.38,73.47,"['NCT00541684', 'NCT00200421', 'NCT04755764', 'NCT04931108', 'NCT00529750', 'NCT00582114', 'NCT00000514', 'NCT00389168', 'NCT01132768', 'NCT00133692', 'NCT00185094', 'NCT00687973', 'NCT00913965', 'NCT00246519', 'NCT00000513', 'NCT01762436', 'NCT00772499', 'NCT02441842', 'NCT00295542', 'NCT00171132', 'NCT00185185', 'NCT00171756', 'NCT00158093', 'NCT00125853', 'NCT00669279', 'NCT00151138', 'NCT01522950', 'NCT00661895', 'NCT00145210', 'NCT01251146', 'NCT01009944', 'NCT03147092', 'NCT01079962', 'NCT00338260', 'NCT00232882', 'NCT00946725', 'NCT03245970', 'NCT00140959', 'NCT00396656', 'NCT01939509', 'NCT01736488', 'NCT05794997']"
ENALAPRILAT,HYPERTENSION,43,5,89.58,10.42,76.74,100,"['NCT00741156', 'NCT01413542']"
BISOPROLOL AND ACETYLSALICYLIC ACID,HYPERTENSION,1950,1040,65.22,34.78,95.69,90.29,[]
COVERSIL,HYPERTENSION,34,0,100,0,100,-1,[]
AMLODIPINE,HYPERTENSION,14679,5284,73.53,26.47,90.16,87.68,"['NCT04790279', 'NCT01964079', 'NCT00518479', 'NCT00150384', 'NCT03978884', 'NCT05467384', 'NCT00171002', 'NCT02896621', 'NCT04434664', 'NCT00558064', 'NCT00867490', 'NCT00626743', 'NCT00409643', 'NCT00439738', 'NCT05976438', 'NCT03956823', 'NCT01237223', 'NCT00415623', 'NCT03657550', 'NCT00170950', 'NCT03946514', 'NCT00242814', 'NCT01634295', 'NCT02644395', 'NCT02068495', 'NCT02046395', 'NCT01365481', 'NCT02496910', 'NCT00530946', 'NCT02058446', 'NCT01975246', 'NCT02152969', 'NCT00542269', 'NCT03897868', 'NCT01001572', 'NCT00841672', 'NCT00902304', 'NCT00174304', 'NCT00819104', 'NCT01692301', 'NCT01762501', 'NCT05683301', 'NCT04692467', 'NCT00294567', 'NCT00553267', 'NCT05416840', 'NCT03226340', 'NCT03247140', 'NCT04740840', 'NCT00942344', 'NCT00956644', 'NCT05331144', 'NCT00523744', 'NCT02415192', 'NCT05312892', 'NCT00159692', 'NCT02900729', 'NCT06041529', 'NCT03990480', 'NCT00281580', 'NCT01911780', 'NCT00860262', 'NCT00454662', 'NCT00392262', 'NCT00797862', 'NCT00890591', 'NCT06395194', 'NCT00006294', 'NCT01625494', 'NCT00942994', 'NCT00409760', 'NCT01103960', 'NCT00134160', 'NCT01011660', 'NCT04306627', 'NCT00687973', 'NCT00656331', 'NCT03662620', 'NCT00185120', 'NCT01222520', 'NCT01819220', 'NCT04559074', 'NCT01337674', 'NCT01271374', 'NCT00240474', 'NCT05475665', 'NCT00591266', 'NCT00171366', 'NCT02801526', 'NCT00853957', 'NCT01658657', 'NCT05947448', 'NCT01842230', 'NCT01070030', 'NCT00351130', 'NCT05808725', 'NCT01128322', 'NCT01822639', 'NCT02710539', 'NCT02548286', 'NCT01956786', 'NCT00170963', 'NCT02620163', 'NCT00791258', 'NCT01286558', 'NCT02933658', 'NCT01549496', 'NCT01198496', 'NCT02996916', 'NCT03566316', 'NCT02358824', 'NCT02944734', 'NCT00143234', 'NCT05764317', 'NCT00602017', 'NCT02121041', 'NCT01922141', 'NCT02075619', 'NCT01316419', 'NCT05667818', 'NCT00202618', 'NCT01354613', 'NCT00412113', 'NCT01180413', 'NCT05155436', 'NCT01368536', 'NCT00413049', 'NCT00523549', 'NCT01198249', 'NCT00224549', 'NCT04518306', 'NCT00289406', 'NCT02152306', 'NCT03847506', 'NCT00693199', 'NCT03707899', 'NCT05370599', 'NCT00772499', 'NCT03156842', 'NCT03991442', 'NCT00509470', 'NCT00921570', 'NCT02047175', 'NCT05917275', 'NCT03626259', 'NCT04929600', 'NCT02368652', 'NCT00627952', 'NCT04218552', 'NCT02710552', 'NCT01089452', 'NCT01176032', 'NCT05103332', 'NCT02738632', 'NCT05513937', 'NCT00407537', 'NCT00330785', 'NCT02744456', 'NCT02177409', 'NCT01041807', 'NCT05279807', 'NCT01200407', 'NCT00237588', 'NCT01865188', 'NCT00741078', 'NCT00367978', 'NCT00426478', 'NCT02278471', 'NCT04518293', 'NCT01134393', 'NCT01256411', 'NCT02586311', 'NCT00558428', 'NCT00492128', 'NCT02377661', 'NCT03371797', 'NCT02979197', 'NCT00425997', 'NCT01278797', 'NCT01556997', 'NCT00935805', 'NCT01180205', 'NCT01204398', 'NCT03276598', 'NCT01518998', 'NCT03536598', 'NCT00327145', 'NCT02699645', 'NCT00437645', 'NCT00654745', 'NCT01048047', 'NCT00313547', 'NCT01113047', 'NCT01611077', 'NCT03667677', 'NCT00400777', 'NCT01091753', 'NCT04120753', 'NCT01501253', 'NCT01748253', 'NCT00659451', 'NCT05476354', 'NCT03088254', 'NCT00579254', 'NCT01663233', 'NCT00129233', 'NCT02250833', 'NCT03009487', 'NCT00327587', 'NCT00601302', 'NCT02064621', 'NCT00778921', 'NCT00789321', 'NCT01631864', 'NCT02913664', 'NCT03461003', 'NCT04554303', 'NCT00402103', 'NCT01107743', 'NCT01070043', 'NCT00338338', 'NCT02847338', 'NCT00902538', 'NCT04974138', 'NCT03047538', 'NCT02397538', 'NCT01409408', 'NCT00139555', 'NCT00311155', 'NCT01518855', 'NCT02569814', 'NCT00527514', 'NCT00661895', 'NCT03461081', 'NCT01030081', 'NCT00931710', 'NCT00353912', 'NCT00777946', 'NCT01131546', 'NCT03683069', 'NCT01080768', 'NCT00350168', 'NCT01130168', 'NCT02408172', 'NCT04161001', 'NCT03785067', 'NCT02742467', 'NCT00940667', 'NCT00548067', 'NCT00891267', 'NCT02172040', 'NCT00699192', 'NCT01264692', 'NCT00649389', 'NCT00877929', 'NCT03639480', 'NCT00940680', 'NCT00614380', 'NCT00987662', 'NCT00198562', 'NCT04085562', 'NCT00847262', 'NCT02988362', 'NCT00923091', 'NCT01302691', 'NCT01977794', 'NCT04158076', 'NCT00170976', 'NCT01848873', 'NCT00425373', 'NCT00739973', 'NCT02811731', 'NCT01648231', 'NCT04521582', 'NCT00220220', 'NCT02995720', 'NCT00618774', 'NCT00765674', 'NCT02969265', 'NCT02368665', 'NCT02206165', 'NCT00950066', 'NCT01797926', 'NCT00304226', 'NCT02940548', 'NCT05089448', 'NCT00174330', 'NCT01277822', 'NCT00000522', 'NCT01375322', 'NCT00367939', 'NCT01870739', 'NCT02294539', 'NCT00538486', 'NCT01252563', 'NCT00446563', 'NCT00669435', 'NCT02973035', 'NCT00171535', 'NCT01983735', 'NCT05660135', 'NCT02186496', 'NCT00739596', 'NCT02181816', 'NCT03116516', 'NCT02059616', 'NCT03722524', 'NCT00446524', 'NCT01830517', 'NCT01127217', 'NCT00667719', 'NCT04111419', 'NCT02387619', 'NCT01835418', 'NCT00413413', 'NCT00666536', 'NCT06282549', 'NCT01996449', 'NCT03626506', 'NCT02353806', 'NCT04121299', 'NCT04474899', 'NCT01425242', 'NCT03578042', 'NCT00000542', 'NCT04840342', 'NCT03294070', 'NCT02651870', 'NCT06259175', 'NCT02312375', 'NCT00039975', 'NCT02789475', 'NCT00140959', 'NCT05288400', 'NCT00834600', 'NCT03264352', 'NCT00624052', 'NCT03210532', 'NCT03205137', 'NCT00460915', 'NCT01996085', 'NCT00443456', 'NCT01842256', 'NCT02064556', 'NCT01101009', 'NCT03814109', 'NCT03951207', 'NCT03067688', 'NCT00825188', 'NCT00637078', 'NCT04488978', 'NCT00360178', 'NCT03747978', 'NCT00234871', 'NCT00700271', 'NCT02449811', 'NCT01806311', 'NCT02412761', 'NCT03106597', 'NCT00938197', 'NCT05920005', 'NCT00787605', 'NCT02062645', 'NCT02920047', 'NCT00765947', 'NCT00368277', 'NCT01167153', 'NCT00550953', 'NCT03038451', 'NCT00136851', 'NCT04952051', 'NCT03666351', 'NCT00409851', 'NCT02205151', 'NCT04074551', 'NCT05165251', 'NCT04974151', 'NCT03783754', 'NCT02995954', 'NCT00957554', 'NCT00171054', 'NCT00220233', 'NCT00185133', 'NCT00498433', 'NCT01241487']"
ACEBUTOLOL / HYDROCHLOROTHIAZIDE,HYPERTENSION,4062,1282,76.01,23.99,91.48,91.73,[]
RAMIPRIL,HYPERTENSION,1163,624,65.08,34.92,84.26,88.62,"['NCT01402479', 'NCT00208221', 'NCT00946621', 'NCT06104423', 'NCT00760214', 'NCT01038895', 'NCT00274612', 'NCT00542269', 'NCT01042392', 'NCT00702091', 'NCT02832973', 'NCT00473174', 'NCT00044265', 'NCT02499822', 'NCT02791958', 'NCT01230034', 'NCT01922141', 'NCT00389519', 'NCT01180413', 'NCT00325806', 'NCT00980785', 'NCT00939588', 'NCT00480805', 'NCT00772577', 'NCT02901977', 'NCT00679653', 'NCT00529451', 'NCT01005290', 'NCT04354350', 'NCT00356395', 'NCT00355589', 'NCT00841880', 'NCT00702260', 'NCT00946465', 'NCT01234922', 'NCT00985322', 'NCT00240422', 'NCT00631917', 'NCT00366119', 'NCT00274599', 'NCT00281593', 'NCT00770497', 'NCT00507845', 'NCT00368277']"
DILTIAZEM,HYPERTENSION,14565,1112,92.91,7.09,98.6,90.74,"['NCT01549496', 'NCT00223717', 'NCT01645826', 'NCT01408524', 'NCT00039975']"
HYDROCHLOROTHIAZIDE / QUINAPRIL,HYPERTENSION,8063,58,99.29,0.71,99.74,84.48,[]
HYDROCHLOROTHIAZIDE 25 MG AND METOPROLOL TARTRATE 100 MG ORAL TABLET,HYPERTENSION,130,83,61.03,38.97,95.38,90.36,[]
IRBESARTAN,HYPERTENSION,5718,1439,79.89,20.11,90.91,82.21,"['NCT00561964', 'NCT00529750', 'NCT00334581', 'NCT01360710', 'NCT00389168', 'NCT06208072', 'NCT00265967', 'NCT00225667', 'NCT00956644', 'NCT00171080', 'NCT00095394', 'NCT01625494', 'NCT00335673', 'NCT05475665', 'NCT00670566', 'NCT00742066', 'NCT00110422', 'NCT01712139', 'NCT00296218', 'NCT00224549', 'NCT00362037', 'NCT00317915', 'NCT00562809', 'NCT05476354', 'NCT00564187', 'NCT00263003', 'NCT00350038', 'NCT00095550', 'NCT00264212', 'NCT00443612', 'NCT00500604', 'NCT00708344', 'NCT00987662', 'NCT00950066', 'NCT01712126', 'NCT00362258', 'NCT00847834', 'NCT01712113', 'NCT00283036', 'NCT01712100', 'NCT00635232', 'NCT03934307', 'NCT04488978', 'NCT02386293', 'NCT01519297', 'NCT01238705', 'NCT00957554', 'NCT00549133', 'NCT01442987']"
FUROSEMIDE,HYPERTENSION,941,584,61.7,38.3,95.43,96.06,"['NCT00007592', 'NCT02832973', 'NCT00115726', 'NCT05171686', 'NCT00141596', 'NCT04615624', 'NCT01072071', 'NCT05569655', 'NCT00151827', 'NCT02450773', 'NCT04343235', 'NCT04752475', 'NCT03556761']"
AMLODIPINE BESYLATE,HYPERTENSION,7140,1504,82.6,17.4,96.23,88.76,"['NCT04434664', 'NCT05667818', 'NCT00412113', 'NCT00289406', 'NCT03847506', 'NCT00407537', 'NCT02979197', 'NCT01556997', 'NCT00789321', 'NCT04974138', 'NCT01131546', 'NCT02172040', 'NCT01302691', 'NCT02940548', 'NCT05089448', 'NCT05660135', 'NCT02353806', 'NCT03294070', 'NCT00136851', 'NCT04974151']"
"MACROGOL, COMBINATIONS",HYPERTENSION,4,16,20,80,100,100,[]
TRANDOLAPRIL,HYPERTENSION,919,664,58.05,41.95,82.48,94.88,"['NCT00235001', 'NCT00133692', 'NCT00233532', 'NCT00679653', 'NCT00235014', 'NCT00887510', 'NCT00234858', 'NCT00234871']"
HYDROCHLOROTHIAZIDE / LOSARTAN,HYPERTENSION,1271,362,77.83,22.17,77.89,73.76,[]
LOSARTAN,HYPERTENSION,390,129,75.14,24.86,77.18,68.99,"['NCT01964079', 'NCT03978884', 'NCT00447603', 'NCT00369538', 'NCT00756938', 'NCT00887250', 'NCT00716950', 'NCT03946514', 'NCT01307046', 'NCT03897868', 'NCT00882440', 'NCT01603940', 'NCT00942344', 'NCT05331144', 'NCT02900729', 'NCT00185094', 'NCT01292694', 'NCT00856960', 'NCT02269176', 'NCT02958631', 'NCT01271374', 'NCT00739674', 'NCT01102465', 'NCT00168857', 'NCT03217825', 'NCT00157963', 'NCT00533858', 'NCT01198496', 'NCT00381134', 'NCT00223717', 'NCT00994617', 'NCT02373241', 'NCT02121041', 'NCT01033318', 'NCT01180413', 'NCT01198249', 'NCT04927299', 'NCT05370599', 'NCT00519870', 'NCT03626259', 'NCT00886600', 'NCT00546052', 'NCT01176032', 'NCT00133185', 'NCT02744456', 'NCT02235909', 'NCT00092209', 'NCT01041807', 'NCT00237588', 'NCT01216878', 'NCT01102478', 'NCT00620178', 'NCT02278471', 'NCT04078711', 'NCT00449111', 'NCT00649311', 'NCT00284128', 'NCT00701428', 'NCT00492128', 'NCT01320397', 'NCT00480805', 'NCT03276598', 'NCT01371747', 'NCT00795847', 'NCT00617877', 'NCT00659451', 'NCT00289887', 'NCT00949884', 'NCT02913664', 'NCT00673790', 'NCT03461003', 'NCT01541943', 'NCT00274638', 'NCT01431508', 'NCT01637623', 'NCT00888355', 'NCT01667614', 'NCT00931710', 'NCT02521246', 'NCT04715568', 'NCT02183701', 'NCT00940667', 'NCT03147092', 'NCT00940680', 'NCT00922480', 'NCT00953680', 'NCT05843162', 'NCT00198562', 'NCT00407862', 'NCT01302691', 'NCT00354991', 'NCT00307060', 'NCT00561327', 'NCT00151827', 'NCT01648231', 'NCT00971165', 'NCT00732966', 'NCT01797926', 'NCT05349825', 'NCT01277822', 'NCT01234922', 'NCT02294539', 'NCT02172586', 'NCT00456963', 'NCT00446563', 'NCT00669435', 'NCT00234858', 'NCT01806324', 'NCT00496834', 'NCT03295734', 'NCT01830517', 'NCT01127217', 'NCT00398541', 'NCT00219141', 'NCT00400218', 'NCT03692013', 'NCT03578042', 'NCT00140959', 'NCT01216852', 'NCT00943852', 'NCT00857285', 'NCT01620788', 'NCT00388388', 'NCT00856271', 'NCT02248961', 'NCT04403347', 'NCT06431477', 'NCT03666351', 'NCT04074551', 'NCT00751751', 'NCT00546754', 'NCT02521233', 'NCT00152633', 'NCT00670787', 'NCT00675987']"
"ATORVASTATIN, ACETYLSALICYLIC ACID AND RAMIPRIL",HYPERTENSION,4851,3340,59.22,40.78,89.24,90.57,[]
COVERSYL   4MG TAB,HYPERTENSION,190,87,68.59,31.41,85.26,56.32,[]
EPROSARTAN / HYDROCHLOROTHIAZIDE,HYPERTENSION,7,78,8.24,91.76,100,100,[]
HYZAAR 50/12.5MG,HYPERTENSION,13,18,41.94,58.06,53.85,100,[]
COVERSYL 8MG TABLET,HYPERTENSION,114,119,48.93,51.07,73.68,84.87,[]
APO CILAZAPRIL/HCTZ,HYPERTENSION,9,10,47.37,52.63,22.22,10,[]
FELODIPINE,HYPERTENSION,55,62,47.01,52.99,65.45,91.94,"['NCT00742066', 'NCT00348686', 'NCT01136863', 'NCT00861016', 'NCT05614037', 'NCT01520285', 'NCT02336607', 'NCT00679653', 'NCT00841880', 'NCT01238705', 'NCT00507845']"
HYDROCHLOROTHIAZIDE / TELMISARTAN,HYPERTENSION,3401,1524,69.06,30.94,71.6,72.64,[]
LISINOPRIL,HYPERTENSION,1058,266,79.91,20.09,88.19,83.08,"['NCT01258764', 'NCT00883064', 'NCT00582114', 'NCT00549510', 'NCT05644769', 'NCT00553969', 'NCT00605072', 'NCT00430040', 'NCT01076140', 'NCT00006294', 'NCT00347360', 'NCT01658657', 'NCT02184858', 'NCT00241124', 'NCT01491919', 'NCT02623036', 'NCT00883506', 'NCT02441842', 'NCT00295542', 'NCT00459056', 'NCT02336607', 'NCT00557128', 'NCT01984164', 'NCT00673790', 'NCT03461003', 'NCT02847338', 'NCT00151138', 'NCT00552708', 'NCT00661895', 'NCT00171067', 'NCT01009944', 'NCT00171574', 'NCT00624065', 'NCT00508365', 'NCT01234922', 'NCT01901549', 'NCT00000542', 'NCT01218100', 'NCT00171600', 'NCT01996085', 'NCT02603809', 'NCT02412761']"
DIOVAN HCT 160/25MG,HYPERTENSION,98,32,75.38,24.62,88.78,100,[]
NITROGLYCERIN,HYPERTENSION,5754,17,99.71,0.29,99.86,94.12,"['NCT05741229', 'NCT02425566', 'NCT00223717', 'NCT00449059', 'NCT01742702', 'NCT04594629', 'NCT01212874', 'NCT00093886', 'NCT04953156']"
LABETALOL,HYPERTENSION,791,104,88.38,11.62,92.67,97.12,"['NCT04755764', 'NCT05139238', 'NCT05989581', 'NCT02912910', 'NCT03877692', 'NCT02050529', 'NCT05309460', 'NCT00194974', 'NCT00293735', 'NCT04298034', 'NCT01538875', 'NCT02426177', 'NCT02531490', 'NCT05551104', 'NCT05955040', 'NCT04343235', 'NCT01408524', 'NCT03506724', 'NCT03245970', 'NCT02168309', 'NCT02933593', 'NCT01912677']"
DIOVANHCT 160/25MG,HYPERTENSION,62,7,89.86,10.14,88.71,100,[]
NIFEDIPINE,HYPERTENSION,2704,964,73.72,26.28,90.27,89.63,"['NCT04790279', 'NCT04755764', 'NCT05139238', 'NCT05989581', 'NCT02912910', 'NCT04435210', 'NCT00605072', 'NCT01355367', 'NCT00173667', 'NCT01287260', 'NCT05309460', 'NCT02513927', 'NCT00194974', 'NCT05947448', 'NCT01830530', 'NCT02499822', 'NCT01071122', 'NCT01118286', 'NCT04349124', 'NCT04298034', 'NCT00223717', 'NCT02047019', 'NCT00750113', 'NCT01363336', 'NCT00519870', 'NCT02413515', 'NCT00993109', 'NCT02031861', 'NCT01303783', 'NCT02426177', 'NCT02641821', 'NCT02531490', 'NCT01227603', 'NCT01518855', 'NCT00661895', 'NCT01030081', 'NCT05551104', 'NCT01021501', 'NCT05955040', 'NCT00768560', 'NCT02940548', 'NCT04236258', 'NCT01788358', 'NCT05049616', 'NCT03506724', 'NCT00672113', 'NCT03245970', 'NCT01294215', 'NCT02357615', 'NCT02168309', 'NCT01350609', 'NCT02933593', 'NCT05686993', 'NCT01351428', 'NCT02563405', 'NCT01912677', 'NCT01167153', 'NCT03194633']"
ENALAPRIL SODIUM,HYPERTENSION,548,218,71.54,28.46,71.35,61.01,[]
DIOVAN HCT 80MG/12.5MG,HYPERTENSION,28,18,60.87,39.13,85.71,94.44,[]
ENALAPRIL / HYDROCHLOROTHIAZIDE,HYPERTENSION,28,16,63.64,36.36,28.57,0,[]
APOATENOL TAB 50MG,HYPERTENSION,7,8,46.67,53.33,0,75,[]
GEN ENALAPRIL,HYPERTENSION,14,5,73.68,26.32,0,100,[]
CANDESARTAN / HYDROCHLOROTHIAZIDE,HYPERTENSION,298,80,78.84,21.16,81.88,55,[]
APORAMIPRIL,HYPERTENSION,86,23,78.9,21.1,53.49,52.17,[]
COVERSYL   2MG TAB,HYPERTENSION,63,17,78.75,21.25,88.89,64.71,[]
OMEPRAZOLE,HYPERTENSION,554,1,99.82,0.18,99.28,100,['NCT00963027']
NOVORAMIPRIL,HYPERTENSION,8,3,72.73,27.27,50,100,[]
ATENOLOL / CHLORTHALIDONE,HYPERTENSION,29,176,14.15,85.85,17.24,99.43,[]
FELODIPINE / RAMIPRIL,HYPERTENSION,139,151,47.93,52.07,76.98,96.69,[]
APOLISINOPRIL TABLET 10 MG,HYPERTENSION,8,9,47.06,52.94,0,77.78,[]
CANDESARTAN,HYPERTENSION,1794,493,78.44,21.56,78.21,66.73,"['NCT01012479', 'NCT02006602', 'NCT00244621', 'NCT00867490', 'NCT01025843', 'NCT02211638', 'NCT00775814', 'NCT02068495', 'NCT03640312', 'NCT01135212', 'NCT00690612', 'NCT00605072', 'NCT00434967', 'NCT02006589', 'NCT00383929', 'NCT00005520', 'NCT02801526', 'NCT00564057', 'NCT00573430', 'NCT02548286', 'NCT00348686', 'NCT00139386', 'NCT00125463', 'NCT01734096', 'NCT00844324', 'NCT02944734', 'NCT02047019', 'NCT03847506', 'NCT00644475', 'NCT02368652', 'NCT01289132', 'NCT00282178', 'NCT00620178', 'NCT02770261', 'NCT01303783', 'NCT02016183', 'NCT02166697', 'NCT01611077', 'NCT01444833', 'NCT01827202', 'NCT02064621', 'NCT01984164', 'NCT01227603', 'NCT01794455', 'NCT00356395', 'NCT02521246', 'NCT00863980', 'NCT02988362', 'NCT00150631', 'NCT02811731', 'NCT00232882', 'NCT02368665', 'NCT02206165', 'NCT03583866', 'NCT01629225', 'NCT00538486', 'NCT00360763', 'NCT01788358', 'NCT02186496', 'NCT02059616', 'NCT02094924', 'NCT00288717', 'NCT00573742', 'NCT02651870', 'NCT00320970', 'NCT02064556', 'NCT01613209', 'NCT01350609', 'NCT00360178', 'NCT01806311', 'NCT00141583', 'NCT05920005', 'NCT00621153', 'NCT02521233']"
HYDRALAZINE,HYPERTENSION,714,139,83.7,16.3,97.06,87.05,"['NCT02046395', 'NCT04435210', 'NCT02050529', 'NCT00223717', 'NCT00772499', 'NCT01538875', 'NCT00661895', 'NCT00599235', 'NCT00000499', 'NCT02933593', 'NCT00607477']"
MAVIK 1MG,HYPERTENSION,23,17,57.5,42.5,69.57,82.35,[]
HYDROCHLOROTHIAZIDE / VALSARTAN,HYPERTENSION,339,185,64.69,35.31,46.9,46.49,[]
HYZAAR DS 100/25 MG,HYPERTENSION,23,12,65.71,34.29,52.17,83.33,[]
DIOVAN HCT 160MG/12.5MG,HYPERTENSION,38,24,61.29,38.71,76.32,50,[]
COVERSYL  4MG TAB,HYPERTENSION,148,51,74.37,25.63,91.22,78.43,[]
CLONIDINE,HYPERTENSION,777,91,89.52,10.48,97.43,100,"['NCT03109795', 'NCT05416840', 'NCT01983462', 'NCT04423627', 'NCT00194974', 'NCT00223717', 'NCT00567411', 'NCT00329511', 'NCT00661895', 'NCT03147092', 'NCT01297335', 'NCT01643434', 'NCT02177461']"
ALISKIREN / HYDROCHLOROTHIAZIDE,HYPERTENSION,1199,395,75.22,24.78,96.75,84.05,[]
DIOVANHCT 160MG/12.5MG,HYPERTENSION,20,12,62.5,37.5,65,100,[]
